"","...1","a","q","ad","per_y","data_arc","n_obs_used","H","diameter","moid"
"68",90,0,2,3,0,55800,2602,9,103,1.33535
"69",91,3,3,4,6,54118,0,7,126,1.85836
"70",94,0,3,4,5,53556,2367,8,148,1.61219
"71",95,3,3,3,5,0,2257,8,178,1.64137
"72",96,0,2,0,0,54449,0,0,101,NA
"73",99,3,3,0,5,54173,2614,8,86,1.54987
"74",100,3,2,0,4,54095,1839,8,66,NA
"75",101,3,0,3,0,54622,2717,9,83,0.989341
"76",102,3,2,0,0,54091,2313,8,84,1.47464
"77",104,2,0,0,4,0,0,0,112,NA
"78",106,3,3,4,7,54913,0,7,254,2.29158
"79",107,3,3,0,6,0,2652,0,75,2.05678
"80",109,3,0,3,0,0,2456,8,86,1.50807
"81",110,3,0,3,0,0,2633,8,126,NA
"82",111,2,0,3,0,54221,2978,0,70,1.11377
"83",112,0,2,0,4,54214,2750,9,50,1.17311
"84",113,0,0,3,4,42721,2366,0,94,NA
"85",114,2,0,0,4,0,0,0,80,NA
"86",116,3,3,3,5,0,2387,0,209,NA
"87",117,0,0,0,0,53839,0,0,40,1.05591
"88",118,0,2,3,0,53819,0,0,57,NA
"89",120,3,3,0,6,53761,3553,7,209,2.00636
"90",121,3,3,3,6,0,2781,0,71,2.13584
"91",122,0,0,0,4,0,0,9,45,NA
"92",123,3,2,0,4,0,3007,0,89,1.41966
"93",124,3,3,3,5,53527,3929,9,48,1.51881
"94",125,0,2,3,0,53591,0,0,45,NA
"95",126,0,0,3,5,0,0,9,122,1.60307
"96",127,0,2,3,5,53492,0,7,163,1.40859
"97",128,0,2,3,0,42344,2892,0,113,NA
"98",129,0,2,4,0,45917,2971,0,181,1.54137
"99",130,2,2,3,0,53226,0,10,31,1.2585
"100",131,3,2,0,4,0,0,9,43,NA
"101",133,3,0,3,4,51742,2052,0,108,1.31245
"102",134,2,0,3,4,49071,2521,0,79,0.912862
"103",135,0,2,0,0,51977,2580,0,37,1.09158
"104",136,0,2,0,6,0,2461,0,129,NA
"105",137,2,2,0,4,0,2659,0,53,1.03807
"106",139,3,2,0,0,52027,3279,8,110,NA
"107",141,2,2,3,4,44342,0,0,55,NA
"108",142,3,0,3,5,0,2494,9,95,1.57591
"109",143,3,2,3,4,0,2284,8,142,1.03742
"110",144,0,2,0,4,48921,2031,8,128,NA
"111",146,3,0,3,0,49481,0,9,133,2.05303
"112",147,0,2,0,5,0,2882,0,98,1.37349
"113",149,0,3,3,0,0,0,8,119,1.61167
"114",150,0,3,3,0,49150,2481,9,39,1.51343
"115",151,0,3,3,0,0,2203,0,59,NA
"116",152,0,3,5,0,45312,2603,0,171,NA
"117",153,3,3,3,6,48870,2205,8,193,NA
"118",154,3,2,0,5,52511,0,11,40,1.02579
"119",155,0,0,3,5,43067,2878,9,143,1.10239
"120",157,0,3,0,0,46030,0,9,39,1.73552
"121",159,3,0,0,0,44287,2632,9,81,1.55919
"122",160,2,2,3,4,0,2410,0,41,NA
"123",162,2,2,3,0,0,2846,9,69,0.936616
"124",163,3,0,0,4,0,2084,9,100,0.880177
"125",164,3,0,3,6,52239,2458,8,180,NA
"126",165,3,2,3,4,0,2479,0,52,1.16106
"127",167,3,3,4,0,50894,2838,0,145,NA
"128",168,2,0,0,4,49065,2562,10,38,NA
"129",171,0,2,3,4,49871,2024,9,62,1.09701
"130",172,3,2,0,5,0,2517,8,126,1.19637
"131",173,0,0,3,5,0,0,8,65,1.47493
"132",174,0,2,4,0,0,2927,0,95,NA
"133",175,3,3,4,6,0,2755,8,107,1.64352
"134",177,2,0,0,4,48831,2678,0,36,1.33862
"135",178,0,3,3,5,44018,2372,8,70,1.65329
"136",180,3,0,4,0,46380,0,0,115,1.52686
"137",181,0,2,0,0,0,2363,9,40,NA
"138",182,3,0,0,5,41452,0,10,33,1.00951
"139",183,0,3,3,6,46244,0,8,62,1.97954
"140",184,3,2,3,0,0,3168,0,160,1.41717
"141",187,3,0,3,0,0,2140,0,36,1.28314
"142",188,0,2,3,4,50962,0,9,38,1.36098
"143",190,3,3,3,0,49162,0,9,95,1.64621
"144",191,2,2,0,0,0,2316,7,99,NA
"145",192,3,0,3,0,37867,1788,10,26,NA
"146",193,0,2,3,4,51286,2717,8,162,0.985887
"147",194,0,0,0,5,49299,2766,0,93,NA
"148",198,0,3,4,6,51075,0,0,76,1.57836
"149",199,3,0,0,0,0,2335,0,128,1.40089
"150",200,0,0,3,4,51144,2662,8,86,1.18797
"151",201,3,0,3,0,51095,2303,0,86,1.76355
"152",202,3,3,3,0,51099,2557,9,125,1.58749
"153",203,0,2,3,0,51085,2671,0,49,1.20236
"154",204,3,3,3,0,0,2578,0,77,NA
"155",205,0,0,0,5,0,2771,0,113,1.65529
"156",206,2,2,0,3,0,0,10,58,1.20835
"157",207,3,3,3,0,0,2861,9,40,NA
"158",208,3,3,3,6,51067,2428,8,179,NA
"159",209,0,2,3,4,48997,2367,9,87,1.39508
"160",210,3,3,4,5,50868,0,8,141,NA
"161",211,3,3,3,6,50959,2622,0,136,1.81975
"162",213,3,3,0,4,50835,2617,0,25,1.54778
"163",214,3,3,3,5,41564,0,9,35,NA
"164",215,3,0,3,5,0,3033,0,122,1.09911
"165",216,0,2,0,5,48792,2632,10,65,0.96991
"166",217,3,0,3,4,46018,0,9,61,1.38756
"167",218,2,2,3,4,44068,3023,9,38,0.833756
"168",219,0,0,3,4,32296,2367,11,32,NA
"169",220,3,3,3,0,0,2652,0,95,NA
"170",221,3,3,4,0,43861,0,9,55,1.7149
"171",222,3,3,3,0,48897,2873,10,80,1.75957
"172",224,0,0,0,6,45392,2805,9,96,1.58027
"173",225,0,2,3,0,49917,2493,0,31,1.15262
"174",226,3,0,0,0,0,2576,0,124,NA
"175",227,0,2,0,0,0,2550,0,9,NA
"176",228,3,0,0,0,49154,2997,0,106,1.93541
"177",229,0,2,3,4,50019,2416,7,111,1.24762
"178",231,3,2,3,4,38682,2459,0,50,NA
"179",232,0,2,3,4,44553,0,8,100,NA
"180",233,2,0,3,0,49639,4332,0,45,0.791683
"181",235,0,0,3,5,0,2445,8,78,NA
"182",236,3,0,3,0,49363,0,9,41,1.552
"183",237,0,0,3,5,0,2601,0,156,1.65788
"184",238,3,2,4,0,49207,0,10,38,NA
"185",240,0,0,0,5,49111,2329,8,169,1.73651
"186",241,3,3,3,5,49166,0,0,41,1.55855
"187",242,3,3,0,5,49157,3672,10,32,1.75309
"188",244,3,2,4,0,49108,0,0,76,NA
"189",245,3,2,3,4,0,2637,0,51,NA
"190",246,3,2,0,0,49092,1690,8,131,1.15489
"191",247,2,2,0,4,49019,3058,0,50,1.29322
"192",248,0,2,3,4,0,0,0,35,0.87032
"193",250,3,3,3,0,0,2781,10,27,NA
"194",252,3,2,3,4,48833,3751,10,53,NA
"195",253,2,2,0,3,0,0,12,12,NA
"196",254,3,0,3,5,48718,0,10,57,NA
"197",255,0,3,0,5,0,2432,0,67,1.81281
"198",258,3,3,4,0,44168,2439,0,174,1.71496
"199",259,3,0,4,6,0,0,0,102,NA
"200",260,2,2,0,4,37200,2487,9,50,NA
"201",261,3,2,0,4,47044,0,12,15,1.02409
"202",264,0,2,3,0,43733,0,12,23,0.913127
"203",266,3,3,3,5,40705,0,0,56,NA
"204",267,3,0,0,5,0,2780,0,145,1.6684
"205",268,3,2,3,4,47308,2806,0,51,NA
"206",269,2,0,3,3,0,2633,9,51,NA
"207",271,0,0,0,0,36871,2640,11,27,1.72617
"208",273,3,3,0,0,46043,0,10,27,NA
"209",275,3,3,3,6,43826,0,9,115,NA
"210",276,3,3,3,0,43741,0,10,30,1.61784
"211",278,0,4,0,9,47005,0,9,127,3.12849
"212",281,2,2,0,4,0,2573,0,39,NA
"213",282,3,3,0,5,0,2730,9,132,NA
"214",283,2,0,3,4,45931,0,0,53,0.832825
"215",284,0,2,0,0,39435,0,11,47,1.44401
"216",285,3,3,3,6,44378,2676,9,94,2.10386
"217",286,0,2,0,0,0,3135,8,60,1.29532
"218",287,0,0,0,0,0,0,0,29,1.19619
"219",288,3,2,3,5,42748,2960,10,38,1.29688
"220",289,2,2,3,0,38012,1419,0,10,NA
"221",290,2,2,2,3,46730,3141,0,10,NA
"222",291,0,2,0,4,0,2138,10,31,NA
"223",292,3,3,0,5,40171,2095,0,57,NA
"224",295,2,0,3,3,36040,0,13,8,0.871683
"225",296,3,3,4,6,43574,2736,9,39,1.70739
"226",299,3,3,0,6,0,2924,10,67,2.01961
"227",300,3,3,3,0,0,3012,10,53,1.52952
"228",301,2,0,3,4,0,2714,11,39,NA
"229",303,2,0,3,4,46925,0,10,66,NA
"230",305,0,2,3,0,0,0,9,47,NA
"231",306,3,2,3,0,46783,0,10,61,1.50703
"232",307,3,3,0,5,46884,0,0,129,1.62539
"233",308,0,2,0,4,46889,0,11,41,1.34902
"234",309,3,0,0,0,38937,2815,0,34,NA
"235",310,0,3,3,0,42718,3237,0,26,1.88473
"236",311,3,2,0,5,46640,2478,9,46,NA
"237",312,0,2,3,0,0,2683,9,78,0.973294
"238",313,3,3,0,6,46734,2655,0,61,NA
"239",314,2,2,3,3,33189,2457,12,7,0.85402
"240",315,3,3,4,6,46730,3231,10,56,1.76561
"241",317,3,3,3,6,46562,0,9,85,NA
"242",318,3,3,4,0,0,2577,10,50,NA
"243",319,3,0,3,0,0,2410,11,23,NA
"244",320,3,3,3,5,0,2725,0,28,NA
"245",323,3,0,4,4,0,0,0,221,0.784536
"246",324,0,3,4,6,0,0,0,76,1.73652
"247",326,3,3,3,0,0,3537,10,30,1.59872
"248",327,3,3,3,5,39434,2045,0,146,NA
"249",329,2,0,0,4,0,2523,0,9,0.862972
"250",330,3,3,3,5,46525,2814,0,75,NA
"251",332,0,3,4,6,46385,2830,9,72,NA
"252",333,0,4,4,0,0,0,0,199,2.78295
"253",335,2,2,2,3,0,3022,10,68,1.0228
"254",340,0,2,3,0,46349,2628,11,16,NA
"255",341,0,0,3,4,46328,0,0,61,1.25972
"256",343,0,0,0,0,0,0,8,124,NA
"257",344,2,2,0,4,46290,0,9,97,1.21067
"258",346,3,0,3,4,46282,2717,9,49,NA
"259",347,3,0,3,5,46285,2843,9,83,1.77728
"260",348,3,0,0,5,46161,2618,6,140,1.65738
"261",349,3,0,4,5,0,1959,0,129,1.64167
"262",350,3,0,3,5,46238,2229,0,40,1.3633
"263",351,0,0,3,3,46052,0,0,27,0.872211
"264",353,3,2,0,5,0,0,6,149,1.4929
"265",355,0,0,0,5,0,0,8,146,1.127
"266",357,3,2,0,0,0,0,0,90,1.45296
"267",358,3,2,0,5,42801,0,9,44,1.29141
"268",359,3,2,4,5,42152,0,8,129,NA
"269",360,4,0,5,8,0,2442,0,154,2.16046
"270",361,3,0,3,4,43773,2446,9,98,NA
"271",362,3,3,3,5,46647,0,0,97,1.55616
"272",363,0,2,3,0,43574,2565,0,26,0.906795
"273",364,0,0,3,5,0,2866,9,87,NA
"274",365,3,0,3,6,44370,0,0,86,NA
"275",366,2,2,0,3,0,2612,0,21,1.02308
"276",367,3,2,0,5,41434,2599,10,69,NA
"277",369,2,2,3,0,41859,0,0,38,1.12078
"278",371,0,2,4,0,45875,0,8,174,1.44687
"279",372,3,0,4,0,42872,2578,9,99,NA
"280",373,3,3,3,0,42269,0,0,45,1.5492
"281",374,0,3,0,6,0,2017,7,216,1.78953
"282",375,0,0,3,3,0,2463,9,35,NA
"283",377,3,2,0,0,0,2497,0,28,NA
"284",378,3,3,4,6,0,3634,9,85,1.56993
"285",379,3,2,3,4,45878,0,0,68,1.37235
"286",380,3,0,4,6,45740,0,8,128,1.92842
"287",381,3,3,4,6,0,2687,9,65,1.5908
"288",382,0,0,0,6,0,3070,10,43,NA
"289",383,3,2,0,4,0,0,10,34,NA
"290",384,3,0,3,0,0,1947,7,86,NA
"291",385,0,2,3,5,0,3129,7,165,1.44016
"292",387,3,3,0,5,0,2468,9,126,1.7964
"293",389,0,2,3,4,45704,0,10,26,1.31688
"294",390,2,0,3,0,0,0,0,16,NA
"295",392,0,2,4,0,42335,0,8,97,NA
"296",393,3,0,3,0,0,2648,10,30,NA
"297",394,3,0,0,5,0,0,0,44,NA
"298",395,0,2,3,0,34304,2405,10,39,NA
"299",396,3,2,0,4,44030,2436,9,49,1.00115
"300",399,3,0,3,6,45447,1914,10,36,1.77651
"301",400,0,0,3,6,45446,2732,0,88,2.23212
"302",401,3,0,0,4,0,2587,9,55,NA
"303",402,3,3,3,5,45375,0,9,54,NA
"304",404,3,2,0,4,43888,0,0,109,0.977069
"305",406,3,2,0,0,43626,2630,9,95,1.45597
"306",407,3,3,0,6,41244,2349,9,36,1.73404
"307",409,0,2,3,0,41402,0,8,116,NA
"308",410,3,3,3,0,45149,0,9,77,1.57647
"309",412,0,2,3,4,37443,2478,10,34,NA
"310",414,0,2,4,5,43782,2645,0,84,0.989757
"311",416,0,0,3,5,42722,0,9,55,NA
"312",417,3,0,0,4,41419,0,0,40,NA
"313",418,0,0,3,0,0,2894,0,149,0.931765
"314",419,0,3,4,6,0,0,0,139,2.33538
"315",420,0,0,0,4,0,2464,12,14,0.830405
"316",421,2,0,3,3,41214,2452,11,11,NA
"317",422,3,0,0,0,43932,2957,7,176,NA
"318",423,0,0,0,5,44290,2471,10,103,1.49564
"319",424,3,3,0,0,43271,3053,10,68,1.71935
"320",425,0,3,3,5,0,2129,8,138,1.6248
"321",426,3,0,3,5,41840,2815,10,32,1.5965
"322",427,2,2,3,0,0,2506,0,20,NA
"323",428,0,0,0,4,0,2688,0,70,1.29235
"324",430,3,3,4,6,42680,2941,9,102,1.59502
"325",431,0,0,3,0,43329,2336,0,47,1.00665
"326",432,1,0,0,2,0,8146,0,17,0.149341
"327",437,3,2,3,0,44110,2546,10,59,1.36722
"328",438,3,3,3,6,44140,2813,10,70,1.98922
"329",439,2,2,0,3,44141,2744,12,14,0.990284
"330",440,0,0,0,5,44083,0,9,65,NA
"331",441,2,2,3,4,0,2749,0,62,NA
"332",444,0,3,4,6,43786,2025,0,88,NA
"333",445,3,2,3,0,0,2429,9,54,NA
"334",446,0,3,3,0,45459,2920,9,85,1.86139
"335",447,3,3,4,6,0,0,0,51,NA
"336",448,3,2,3,4,43653,2648,0,86,NA
"337",449,3,0,3,0,43771,0,0,37,1.72351
"338",450,3,3,3,0,43621,0,7,254,NA
"339",451,3,0,3,5,43715,2499,12,12,1.81498
"340",452,2,2,2,3,0,2785,10,24,0.939155
"341",453,3,0,3,4,43504,0,0,82,NA
"342",454,3,0,0,4,43455,2369,9,89,NA
"343",455,3,2,0,0,43412,2635,9,38,NA
"344",456,3,3,4,0,43440,0,11,19,1.59286
"345",459,3,0,0,4,0,0,11,20,NA
"346",462,2,0,3,4,0,2156,0,21,NA
"347",468,3,3,0,6,43180,0,9,134,1.68599
"348",469,2,2,3,0,43084,2788,10,28,NA
"349",470,3,0,4,5,43192,0,0,148,NA
"350",471,3,2,3,4,0,0,9,50,1.36132
"351",472,0,2,3,0,0,0,12,12,1.40378
"352",473,2,0,3,4,0,0,11,39,NA
"353",476,2,0,3,4,42988,0,0,23,0.954584
"354",477,0,3,3,5,0,2329,8,81,1.80949
"355",478,3,2,3,4,42915,0,0,60,1.15491
"356",479,3,3,3,4,0,2721,8,56,1.54873
"357",481,3,3,0,5,42904,2568,9,46,1.74194
"358",483,3,0,0,4,42745,2393,10,30,1.49793
"359",484,3,0,3,5,0,2415,0,64,1.28699
"360",486,3,2,0,4,0,0,0,59,NA
"361",488,3,3,3,6,0,2572,0,139,2.01025
"362",490,3,3,3,0,0,2650,0,91,1.95286
"363",492,3,3,4,0,42543,0,11,42,1.60188
"364",495,2,0,0,0,0,2642,12,14,1.04487
"365",496,0,0,0,5,0,0,0,41,NA
"366",498,4,0,0,0,42609,2492,0,77,2.15619
"367",501,2,0,0,4,42578,1971,11,16,0.975649
"368",502,3,2,0,4,42407,0,0,82,1.26281
"369",505,3,0,0,5,41145,0,9,106,1.62485
"370",508,0,0,0,5,0,0,0,52,1.77973
"371",509,3,0,0,0,42340,2614,0,60,1.12426
"372",511,2,2,3,3,40305,2598,11,23,0.651093
"373",512,3,3,0,5,0,0,0,49,1.77973
"374",513,3,3,3,5,0,0,0,120,NA
"375",514,3,3,0,0,42331,0,0,41,1.58602
"376",515,0,2,0,4,0,0,0,65,NA
"377",517,3,2,3,4,42305,2923,0,16,NA
"378",518,3,2,0,0,42308,0,0,40,1.29613
"379",519,3,0,0,0,42200,0,0,25,1.68737
"380",520,0,0,4,0,42223,2463,8,107,0.993845
"381",521,0,3,0,0,43089,3131,0,101,NA
"382",523,3,2,0,4,42061,2646,0,66,1.32213
"383",524,0,2,0,3,40477,2261,13,9,1.04069
"384",525,3,3,0,0,42947,2869,0,45,1.71842
"385",527,3,0,3,0,42156,0,0,92,2.33159
"386",528,3,0,3,0,42506,2230,0,32,NA
"387",529,0,0,4,6,42130,3030,0,85,1.47707
"388",531,3,2,3,5,42020,3572,6,168,1.3544
"389",532,0,0,0,0,43009,2707,10,31,1.84049
"390",533,0,0,3,0,42123,2753,0,32,1.72963
"391",534,3,3,3,4,42105,0,9,79,1.52901
"392",536,0,2,4,5,42795,0,9,41,1.35718
"393",537,3,0,4,6,41934,2694,0,71,NA
"394",539,0,0,0,3,42018,2982,0,19,1.02409
"395",540,3,0,3,5,0,0,0,60,1.65907
"396",543,0,2,0,0,41880,0,10,27,NA
"397",545,0,2,0,0,0,2217,10,66,NA
"398",546,0,0,3,0,41948,0,0,52,NA
"399",550,0,0,3,0,41912,0,10,81,1.62016
"400",552,0,2,2,0,41871,0,12,9,0.998781
"401",553,2,2,0,0,44903,2647,9,96,NA
"402",554,0,3,0,6,41855,2792,0,31,NA
"403",557,0,0,3,5,41728,2956,0,55,NA
"404",558,3,0,0,4,0,3878,0,80,NA
"405",559,0,0,0,5,41695,0,0,35,1.32405
"406",562,0,0,3,4,0,2189,0,53,1.09018
"407",563,3,2,0,5,0,0,0,52,0.990992
"408",564,2,2,3,0,0,0,11,27,1.16243
"409",565,0,3,4,6,41712,0,8,167,1.97895
"410",566,0,3,3,6,41579,2627,9,93,1.85944
"411",567,3,2,0,5,40991,0,0,71,1.41166
"412",570,2,0,0,4,0,0,12,12,0.827709
"413",572,0,0,3,0,41608,2448,9,48,1.68315
"414",573,0,2,0,3,41608,1810,12,8,0.736039
"415",575,3,2,4,5,34861,2633,9,74,NA
"416",576,3,3,0,5,0,0,9,38,1.61223
"417",578,3,0,3,5,41117,2456,0,86,1.77546
"418",579,3,3,4,6,41521,2614,10,48,1.96954
"419",580,3,3,0,0,0,2128,10,61,2.12574
"420",581,3,2,3,4,41286,3625,9,44,1.11967
"421",582,0,3,0,0,0,0,0,78,1.68992
"422",583,2,0,3,4,41390,0,0,54,NA
"423",584,2,2,3,4,0,2913,10,50,NA
"424",586,2,2,3,4,41248,1674,12,11,0.958866
"425",588,3,0,3,6,0,0,0,94,NA
"426",589,3,3,3,5,0,2176,0,31,1.77818
"427",590,0,2,3,4,41307,2151,11,52,NA
"428",591,0,3,0,5,41420,0,10,44,NA
"429",592,0,2,0,4,0,1830,9,70,1.14601
"430",593,3,0,4,0,41222,0,0,9,NA
"431",594,3,0,3,6,0,2254,8,91,2.0585
"432",597,3,2,3,5,0,2634,0,78,NA
"433",598,0,2,0,0,0,2418,9,70,1.02142
"434",599,3,3,3,4,0,0,0,25,1.51488
"435",600,0,0,3,0,41178,2442,10,76,NA
"436",601,3,0,4,5,41351,1985,8,110,1.33939
"437",603,0,3,0,6,0,2736,0,65,NA
"438",604,3,3,0,5,41265,2066,0,70,1.58893
"439",605,0,2,3,4,41243,2478,0,36,1.03284
"440",607,3,3,0,5,0,0,11,20,1.65868
"441",609,3,2,4,5,0,1702,12,19,1.31929
"442",611,0,2,4,0,41217,0,11,39,NA
"443",614,3,2,3,4,42537,0,0,49,NA
"444",619,2,0,3,4,0,2434,11,11,1.09966
"445",621,0,0,0,4,40949,0,10,22,NA
"446",622,2,2,3,4,40053,2168,0,44,1.22917
"447",624,3,2,0,4,40996,2250,10,28,NA
"448",625,3,0,3,0,0,0,0,73,0.997854
"449",626,3,3,3,0,41078,2773,0,38,1.7182
"450",627,0,2,3,4,40972,2542,0,48,NA
"451",629,0,0,3,0,0,0,0,16,1.3603
"452",630,3,3,3,5,41056,2193,9,50,1.6487
"453",632,3,0,3,5,0,2483,10,33,1.75656
"454",634,0,0,0,0,0,2951,9,94,NA
"455",635,3,0,3,0,0,0,10,73,NA
"456",636,0,0,4,0,40960,0,0,24,NA
"457",637,0,2,3,0,41381,2838,10,60,NA
"458",639,0,0,3,6,40896,0,0,63,1.89859
"459",640,2,2,3,3,0,0,0,9,0.948648
"460",641,3,3,4,6,40884,2311,0,33,NA
"461",643,0,2,0,0,0,0,11,17,NA
"462",644,3,3,4,6,40867,0,0,29,NA
"463",646,2,0,3,0,0,2534,11,10,NA
"464",647,0,3,0,6,40882,2172,10,68,NA
"465",650,3,0,0,0,41643,0,10,32,1.72346
"466",651,0,0,3,0,40290,2377,0,16,NA
"467",652,0,0,3,5,0,2402,9,50,NA
"468",653,2,2,3,3,40650,2645,0,161,0.804655
"469",654,3,3,3,0,0,2754,0,29,1.75988
"470",657,3,3,3,5,41169,2574,11,22,NA
"471",658,5,5,0,12,40694,2348,9,112,NA
"472",659,3,0,0,0,40239,0,9,42,1.29661
"473",660,0,3,3,0,37088,2572,10,40,1.9236
"474",662,0,3,4,5,0,2429,0,108,1.65471
"475",664,3,3,4,6,0,2522,9,51,1.60514
"476",666,3,3,4,0,40466,0,9,83,NA
"477",667,3,2,0,0,40465,2206,0,23,1.13368
"478",668,3,3,3,5,41480,0,10,29,NA
"479",670,3,3,3,5,38170,2487,10,61,1.91758
"480",671,3,2,3,4,41044,3397,12,30,NA
"481",673,3,2,3,5,43051,0,7,96,1.38596
"482",674,3,2,0,0,37255,2293,8,76,NA
"483",676,3,0,3,5,41278,2613,0,32,NA
"484",679,3,2,4,6,0,2291,9,84,NA
"485",680,0,3,3,5,0,2367,11,20,1.80215
"486",681,0,3,3,5,0,0,0,83,NA
"487",683,2,0,3,0,34948,0,12,11,0.786663
"488",684,0,2,3,4,0,2331,10,55,NA
"489",687,2,0,3,0,0,2551,12,16,0.780656
"490",688,0,0,0,6,0,2320,0,135,NA
"491",689,3,3,0,5,38079,2034,9,79,1.67423
"492",690,3,3,0,6,43016,0,9,43,1.90161
"493",691,0,3,0,5,0,2336,10,82,1.87035
"494",694,0,2,0,6,0,0,9,82,1.42446
"495",695,3,0,3,5,39998,2618,10,80,1.43895
"496",696,0,3,3,0,40444,2510,0,27,NA
"497",698,0,0,0,5,0,0,9,43,1.908
"498",699,0,3,3,0,39848,2684,7,191,2.1208
"499",700,2,2,0,3,39758,2600,0,7,0.880428
"500",702,3,0,3,0,0,2100,8,132,NA
"501",703,0,0,3,5,39570,0,0,31,1.20435
"502",704,2,2,2,3,0,2511,12,9,0.950041
"503",705,3,0,3,4,46272,0,0,21,NA
"504",706,3,3,0,0,41459,2257,0,95,1.58259
"505",707,3,0,4,6,39571,2861,0,29,1.70132
"506",709,3,2,3,4,39500,2720,0,113,NA
"507",710,0,3,0,0,0,2753,9,98,NA
"508",711,0,2,3,0,0,0,9,41,1.42829
"509",712,3,3,0,5,39340,3259,0,25,1.56439
"510",714,0,0,4,0,39343,2745,11,28,1.31283
"511",715,0,2,4,5,0,0,10,71,1.4423
"512",716,3,0,0,0,45824,2949,10,34,1.84292
"513",717,4,3,4,7,39386,2462,9,75,2.14421
"514",720,0,2,3,4,39067,1314,14,9,NA
"515",721,0,2,0,4,37763,2727,12,24,NA
"516",723,0,2,3,4,38697,2621,10,32,1.36239
"517",724,2,2,0,3,39264,0,0,6,1.07253
"518",725,3,0,3,5,37377,2424,0,50,1.56469
"519",726,3,0,3,5,37723,2457,10,35,1.58306
"520",728,3,0,4,6,40358,2031,0,98,2.20799
"521",729,3,3,0,6,0,0,0,67,NA
"522",731,2,2,0,3,38971,2816,12,17,0.827716
"523",732,3,2,0,4,0,2680,9,48,NA
"524",733,3,3,3,0,38841,0,0,63,1.87697
"525",739,0,0,4,6,38849,0,10,59,NA
